visita_id,nombre,ap_paterno,ap_materno,parentesco,edad,ocupacion
28,Andonis,Blinman,Sturt,NINGUNO,89,SIN ESPECIFICAR
43,Melesa,Varndell,Challenor,NINGUNO,80,SIN ESPECIFICAR
45,Gisela,Vanstone,Blackwell,NINGUNO,78,SIN ESPECIFICAR
46,Basil,Stickles,Bankhurst,FAMILIAR,84,SIN ESPECIFICAR
48,Willi,Kenright,Maffini,FAMILIAR,80,SIN ESPECIFICAR
58,Adelind,Seagrove,Starmont,NINGUNO,80,SIN ESPECIFICAR
64,Amber,Copeman,Curtoys,NINGUNO,64,EMPLEADO
72,Doll,Khomin,Gowing,FAMILIAR,24,ESTUDIANTE
76,Carita,Whates,Elner,FAMILIAR,76,EMPLEADO
82,Maximilien,Schettini,Greville,NINGUNO,30,EMPLEADO
86,Benoit,Dobson,Cowell,NINGUNO,74,EMPLEADO
92,Charita,Goolding,Gilby,FAMILIAR,29,EMPLEADO
96,Warner,Shayler,Rosettini,FAMILIAR,77,EMPLEADO
100,Mikkel,Farrand,Tink,FAMILIAR,78,SIN ESPECIFICAR
103,Letta,Carlaw,Marvel,FAMILIAR,68,EMPLEADO
105,Theodoric,Klempke,Brookwell,FAMILIAR,27,ESTUDIANTE
110,Maxi,Littley,Waterfield,FAMILIAR,45,EMPLEADO
114,Jamima,Szachniewicz,Salthouse,FAMILIAR,13,SIN ESPECIFICAR
122,Damon,Conrart,Fyrth,FAMILIAR,87,SIN ESPECIFICAR
124,Kalli,Bockh,Rushmare,FAMILIAR,15,ESTUDIANTE
128,Kellina,Snowdon,Hancox,FAMILIAR,22,SIN ESPECIFICAR
143,Kristoffer,Gobel,Youens,NINGUNO,66,EMPLEADO
151,Guido,Ateridge,Sandaver,FAMILIAR,76,EMPLEADO
195,Hermy,Barber,Rice,FAMILIAR,78,EMPLEADO
201,Drake,Dysart,Peterffy,FAMILIAR,13,ESTUDIANTE
207,Willyt,McGinnis,Calvard,NINGUNO,47,EMPLEADO
208,Dag,Case,Osbourne,NINGUNO,39,EMPLEADO
210,Ogdon,Scanlon,Juden,NINGUNO,17,ESTUDIANTE
214,Ernest,Morrissey,Burdytt,NINGUNO,90,SIN ESPECIFICAR
218,Lulita,Labin,Rawdales,NINGUNO,84,SIN ESPECIFICAR
219,Silvano,Landal,Hartgill,NINGUNO,77,EMPLEADO
224,Adara,Warters,Shrubshall,NINGUNO,42,EMPLEADO
229,Ceciley,Trewin,Coady,NINGUNO,12,SIN ESPECIFICAR
231,Teriann,Vassbender,Kahler,FAMILIAR,55,EMPLEADO
235,Elyssa,Hemms,Wheowall,NINGUNO,76,EMPLEADO
236,Bourke,Stenyng,Falkous,FAMILIAR,71,EMPLEADO
242,Ronny,Heaney,Wyley,FAMILIAR,29,EMPLEADO
245,Alistair,De Avenell,Natwick,NINGUNO,28,EMPLEADO
260,Gae,Blyden,Gavrieli,NINGUNO,88,SIN ESPECIFICAR
