cliente_id,clave,nombre,ap_paterno,ap_materno,fecha_nacimiento,edad,curp,estado_civil,telefono,ocupacion,nivel_educativo
1,79722313,Justinn,Stalf,Gartell,3-2-1949,59,5QM0NO63N05V0BVZH9,sin especificar,17761051,Community Outreach Specialist,maestria
2,92772866,Iolande,Sowerby,Riches,15-04-1984,34,PUQM8HV6IV28WDMCDP,viudo,46986295,Administrative Officer,profesional
3,93437073,Prent,McSweeney,Rodenhurst,6/12/1999,26,57Z0N69GQHVCG76D6E,casado,55096892,Senior Quality Engineer,bachillerato
4,65651996,Hartley,Blazevic,Glenton,24/12/1995,68,56QD4XUKD8YPH51AKL,soltero,55219472,Biostatistician I,bachillerato
5,87136225,Tuck,Rennles,Philcox,18/04/1954,78,5X1HRVSLBL21USWDSJ,sin especificar,45915514,Desktop Support Technician,sin especificar
6,30526989,Armstrong,Cockshtt,Wicher,15/04/1948,41,V4YVHPQECW2ZLKGRY8,viudo,27770348,Editor,doctorado
7,65694680,Tymothy,Lampard,Joseph,15/07/1934,23,Z0MGW8ZYYC1PO32GDX,soltero,21516126,Safety Technician III,maestria
8,15872449,Patrice,Aireton,Lawlie,27/05/2002,83,CBOAF3YTBHGSMCA88B,viudo,26483717,Social Worker,maestria
9,30037603,Garvy,Tuddenham,Govan,28/12/1980,52,WA762SGGV0OZ8XYJ7X,casado,44792149,Civil Engineer,profesional
10,16203899,Brig,Shemmans,Kirkham,09/04/1996,34,JG0397ECGSSAXXVRI2,viudo,21263496,Occupational Therapist,doctorado
11,19882153,Otha,Sowerby,Drife,11/8/1960,63,7M620RO34EP12GXS6R,viudo,39709203,Speech Pathologist,doctorado
12,52887124,Giorgio,Boorer,Dunnett,09/11/1978,55,HWPGTLV9WPSVOC7B0D,casado,34365130,Administrative Officer,sin especificar
13,84051552,Joachim,Staden,Siggin,02/10/1978,47,VDM3ZIAU6WUU61I256,viudo,19251653,Internal Auditor,doctorado
14,38612387,Bette,Mayfield,Ellsworthe,4/1/2005,89,LFZ54GEDBD7KOZ0PIZ,soltero,26833881,General Manager,doctorado
15,10995191,Ardyce,Majury,Townend,06/11/2005,66,AA6X3CVBS43AVHAWSO,casado,19409735,Accountant II,doctorado
16,87205782,Cherianne,Delahunty,Samsonsen,28/08/1956,24,BXN0CJSK4YQVACWALF,sin especificar,28357172,Budget/Accounting Analyst II,bachillerato
17,67330819,Noreen,Haster,Smeall,02/11/1957,84,QQFL588PX6XBSBZHAJ,viudo,35212174,Account Representative IV,doctorado
18,42467697,Kelley,Jobbins,Pestridge,27/03/1988,59,FPEOILHHRHL0BSO5BH,sin especificar,38125461,Internal Auditor,sin especificar
19,65439671,Christabella,Gully,Learned,09/01/1986,76,YCFXZ2D5UA19C4NQ66,soltero,42127880,Tax Accountant,doctorado
20,51717478,Donn,Edwin,Thalmann,30/03/1979,56,YECX2WX4ZYJGE50YD6,soltero,49231773,Accountant I,doctorado
21,40629798,Dyanna,Handke,Copestick,04/02/1964,90,T7Q2FQRIMG42IUYDXW,sin especificar,28011788,Administrative Officer,profesional
22,32653688,Gayelord,Christie,Every,29/03/1957,48,FAF1OONBIOIV4S1K0J,viudo,43565042,Desktop Support Technician,bachillerato
23,98912400,Gustavo,Littlefair,Neeve,13/07/1944,54,TML8M0RBRQBD6WJAK6,viudo,36328049,Research Assistant II,bachillerato
24,16324943,Gianina,Ferneyhough,Salerg,3/10/1989,78,EC35DXHMPRGKJRBGV3,casado,41719696,Executive Secretary,sin especificar
25,75458558,Erinna,Sharkey,Dittson,09/06/1974,46,AD11CIYAEXHYMYWP39,sin especificar,29052620,Recruiter,bachillerato
26,91566249,Jordanna,Kitley,Lerwell,03/04/1987,29,76DJMW1ZHMM19P9WVH,viudo,18412446,Senior Quality Engineer,bachillerato
27,96995524,Christina,Kyston,Sallarie,21/08/1970,66,LVPJODGVB6FAJHO3HO,viudo,37648503,Executive Secretary,bachillerato
